text,prediction
До Анонимен 54 никак даже! Другият месец ще вдигнат данъците! Знаеш ли как ми пука за твоето злословене а? От моят джоб вадят за да хранят хора които за една година не можаха да се интегрират! Я питай познатите ти кой ги изхранва една година на Запад! Ще ти помогна: НИКОЙ! Хайде стига с тая мантра майки с деца! Дебели пръчове карат мазни коли... а тук някакви си ми говорят за майки с деца! И не само това ами в Бургас ни спират по улиците за да ни искат пари за гориво за скъпите си коли! ,True
До Анонимен 47 ти май си от Марс а? Не помниш ли как правителството накрая си призна че парите за тези идват от излишъци в бюджета и че парите от ЕС са спрели? Нали за това държавата спря програмата и изхранваше само децата по едно време? А после съдът отреди да ги хрантутим! Верно сте прроссти ама и късопаметни! СРАМ! ,True
Колко от тях са интегрирани и работят? ,True
Умни интелигентни хора всяка държава ще се гордее с украинските безжанци ,False
Давам по 30 рубли екстра за коментар срещу украинските жени и деца в тази статия ,False
Тука вече от урки.меки китки и мингели не може да се диша вече! ,True
5-звездно хотелче на първа лининя базплатно папо и по 1500 лв джобни за молче. Кой не иска. ,True
Какво ще бачкат като бг е мизерия. Ако дойдат 1 милиона и не бачкат и искат храна ще стане хиперинфлация. Проблема е че бг няма икономика и не може да ги приеме даже и за да бачкат щото няма какво да бачкат. ,True
Свестни са обикновените украинци. Или поне бяха но щом оше си търпят зеленото човече вече се съмнявам дали са свестни. ,True
Подкрепящите Русия сте малцинство - много глуппаво и още повече гласовито. Тъпаците още повече като са малцинство нямат право да решават какво и що. ; ,False
Сметнах ги и без Витанов - 150 милиарда за една година подарък само от издръжката по 40 лв на ден. Другите екстри като оръжие не влизат в тая сметка. ,True
Дай личен пример и си подари жилището колата и жена си на укритещом си толкова толерастен :) ,True
Ауууу русоррроб и путиннннопитек са цензурирани. Скоро време ще започнат и да арестуват за критики към ботоксовия Вожд и наместника му губернатор Мутрохванов. :) ,False
Това са просто ВИП укро-туристимного по-ценни от българското население обитаващо разградената териториянякога гордо наричана България! ,True
Жени и деца друг път. Тоя къв е на снимката ,True
Украйна почти е Изравнена със земята! Има още какво да се желае и Русия ще го постигне! Избягалите от Украйна няма да се върнат повече там! Да живее Русия! *** на Фашистка Укрия! ,True
На укрите по 1000 $ на месец помощ а на бг пенсионер пенсия 300 $ еврозона и инфлация. ,True
Що не си стояха по дървените древни из укрия а се домъкнаха тука и те да ни видят на гърба по хотелите на юафията..като индийците? ,True
Ако имахме умни политици щяхме да направим всичко възможно да задържим тези хора тук...Украинците са свестни и образовани ще бъдат от голяма полза за България поради проблема с демографската криза ,False
Една година безплатен купон из Европа.Както върви ще е още много тодини.Освен да се разхождат и да се оглеждат за мъже повечето украинки нямат друга работа. ,True
Според мен цифрата на останалите туристи от укра е силно занижена но и 50хиляди да са  си е голямо финансово бреме което плащаме НИЕ!!!! По надолу в сайта ще намерите новина как дарили на карловците дето останаха без къщи дърва за огрев.... В края на зимата!!!!! Тая държава е за нулиране..... Да се събори всичко и да се почва от нулата - с реформи на реформите не става. Закривай - то се е видЕло!!!! ,True
През България са минали жените и децата им! Тия които могат да се бият са на фронта и се справят много добре! ,False
А защо не се бият да защитават Зеления человек а дошли тука на безплатна почивка? ,True
Добре са дошли! Истински православни братя които се опълчиха на Азиатщината на Кремъл! Нацията която спря ордите на Путин ! ,False
РУСИЯ ОСИГУРИ  ЧИСТО НЕБЕ  ЗА БАЙДЪНЧО  А ЗЕЛЕНОТО ЧОВЕЧЕ ОТ КИЕВ МУ ПУСНА СИРЕНИТЕ ЗА ПАРЛАМА  ДОКАТО ОТИВАШЕ КЪМ ЧЕРКВАТА !!! СМЕШНО И ЖАЛКО ЧОВЕЧЕ !!! УКРАИНЦИ  ВЪРВЕТЕ СИ !!!  ЦЯЛА ЕВРОПА ВИ ГОНИ !!! ,True
Я да сметне Витанов - за една година по 40 лв на ден на калпак колко милиона/ милиарда български лева са това и имат ли нещо общо с инфлацията? Щото да раздаваш изработени от някого пари ей така без нищо насреща си е живо ограбване. ,True
Интересно как някои са против украинските бежанци но не са против руската мирна окупация на българското Черноморие. Странен двоен стандарт. ,False
ЩОМ РУСКИТЕ ФАШИСТИ ВИЯТЗНАЧИ СЕ Е СЛУЧИЛО НЕЩО ДОБРО! ,False
Господ сили да дава на братският украински народ в неравната борба с жестокият и коварен завоевател! ,False
Може и да има бежанци но болшинството са туристи на аванта. ,True
Слава Украйна на фронта да отиват не да грачат .Против и са много ,True
Против тях съм на 100% .Възрастните ще изнемогват с пенсии младите ще изнемогват с прехрана на децата а за украйнците никога никога .Е затова спрях всякакви данъци които съществуват на този земя ! ,True
киру каналджията дето вкара милион урки без да пита нас че и пари и винетки и паркинг и здравеопазване на наша сметка даде що не е в затвора? ,True
Тази ли е танцьорката на пилон на Ихтиманския милиционер ? Прилича на евтина к..... ,True
Каката е 6 точки. ,True
Доста се е състарила. Преди беше красавица. ,True
Хиляди убити градове в руини  ключови моменти на война в Донбас. Изгорени живи 50 души в Одеса. Над 2000 убити деца. Цивилно население живеещо в мазетата повече от 8 години. Изравнени със земята жилищни комплекси. Това е равносметката от войната на Украйна в Донбас! ,True
Украйна можеше да избегне войната и да задържи Донбас ако спазваше Минските съглашения - изтегляне на тежките оръжия от т.н. линия на разделение даване на специален статут на Донбас. И още: отказ от членство в НАТО. Можешено не го направи. Осем години обстрел намерения за създаване на атомно оръжие лаборатории за биологично оръжие. Войната вече не можеше да не започне. Засега Украйна загуби само Донбас и Запорожка област. Ако не започнат преговори ще загубят още. ,True
Аз нямам сметка от война с Русия че да ми наложат насила истанбулскта конвенция и зелената сделка и да ходя пеш ям щурци и да студувам. ,True
Група евродепутати са предложили да има санкции за ЮАРзащото търгува с Русия .Боже тия направо са смешнищо не сложат санкции на бритиш петролиум че в Индия преработва руски петрол и го внася в Европа . ,True
Украйна съвсем заслужено и се падна война! Ами не мога да съжалявам Украйна! Там имаше фашизъм! Анексираните територии  в които живеят Основно Руско населениебеше Избиваномачкано от Фашистите Бандеровци и реалният Киевски режим! Това продължи повече от 8 г! Хиляди загинаха без да са сторили някому нещо! Имаше и деца! Путин нямаше как да седи със скръстени ръце! Подкрепям Русия!!! ,True
Извода е: САЩ НЯМАТ работа в Европа  защото ще продължава да има войни ,True
Укрите са по-зле от племето Навахо. ,True
По-добре ядрена война и всички да умрем отколкото да позволим на Путин да победи в Украйна само защото имали хиперзвукови ядрени оръжия. ,False
Демокрация.Съдят бивш министър разкрил че Дания е помагала на САЩ да шпионират западни лидери ,True
До баба  мара  някъде около 2006 късия престъпник реши да превземе Украйна... и конфликта започна!  Нещо не ясно ?... ако някой спечели нещо. Това ще са украинцитеа спечеленото му се вика  - свобода! Даже и ние може да получим свободата си от руския ботуш който ни задушава над 100г. ,False
А САЩ  НАТО и тия пенсионери от ЕС какви са?!САЩ са най-голямото зло на светавсички войни са заради тях и ресурсите!Колко милиона индианци са избили я кажи?! ,True
почнете от 2014  до сега  минските споразумения   генезиса на конфликта кои езаинтересован и кои печели ,True
Путин е военопрестъпник. ,False
В България е врата в полето и той затова иска да дойде тук винаги ще намери начин да се измъкне. ,True
Естествено че ще иска да бъде прехвърлен в България! Знае  че в България даже ще го сложат в 5-звезден хотел ще му носят кафе по бикини и съдиите ще го пуснат след съответното стимулиране! В България е царството на престъпниците - всички закони са направени за тяхното оправдаване ! ,True
През 2022 г. той получава присъда от пет месеца за каналджийство но тя е приспадната заради престоя му в ареста. Малко след това Кузмов е сключил ново споразумение. ...............ако тогава беше полежал поне 3 години ефектифно сега нямаше да е подсъдим за смъртта на 18 души! Кой носи отговорност!? ,True
Имах си аз иска 5 месеца присъда и после пак с буса! ,True
Естествено в Гърция ще търка наровете доживот а тук срещу една по-така сума ще го пуснат. ,True
9 години Украйна убиваше и рушеше в Донбас и пълно мълчание....и ето резултатите. ,True
Тоз имали кой да го слуша?Същия нахъсваше и за ваксините. ,True
То хубаво папата осъжда войната като явление и то страшно  но кога ще осъди и конкретните подпалвачи на тази война - отвъдокеанските войно-(сребро-)любци  които още ги е яд че при товарищ Елцин почти бяха сложили ръка на  Русия  но лошият Путин обърка всичко ! ,True
За Бог не знам  но човечеството и Хага няма да простят.Путин на ешафода. ,False
КЪСНО Е ПОПЕ РУСИЯ ПОБЕДИ ,True
къде беше Папата за Ирак сирия Либия  Сърбия... ,True
Ще потърся оригинала на речта на Папата но е прав. Не оръжия а преговори за мир трябват. Явно не е осъдил Русия иначе не мисля че нямаше да го оповестят. Ако се гледа обективно на тая военна операция или война все тая вината не е на Русия. Но Папата едва ли ще обвини виновника. Предизвикано нападение е нахлуването в Украйна. ,True
ТОЧНО КОГАТО УКРАИНСКАТА АРМИЯ СЕ ПОДГОТВЯ ДА ИЗМЕТЕ ПУТИНОКОМУНДЕЛИТЕ ОТ УКРАЙНА СЕ РАЗРЕВАХА ВСИЧКИ СЛУГИ НА САТАНАТА ЗА МИР! ,False
Папата като види че православна Русия вади на масата победоносната риторика и действия започва да надава глас за мир. Иначе му уйдисва когато Зеленото и Байдън се перчат. ,True
Папата да отиде да се разходи до Алеята на ангелите в Донецк. ,True
Целта за надуване на цените е да откраднат и последните спестявания на хората по банките и след това цените ще се намалят. ,True
Спекула нямаима картели. ,True
Не бе те просто така си ги вдигат. ,True
Да! България е райско кътче за спекулантишарлатанибиткойникрадциизмамници политически пр0дажницичекмеджетаприватизациимагистрални евроатлантици и бивши пребоядисани ко-му-нис-тиВИП - туристи и местни римляни! За нормалните работещи българиизчезващи емигриращи и измиращидържавата е враг! ,True
При липса на държава какво да е ? ,True
А хич няма. Яйцата са евтини. Захарта също. Мляко   сирена кашкавали са достъпни стотинки килото. Истинското месо е към 15-20 хляба. Нищо работа. ,True
Няма спекула а само спекуланти ,True
Премахването на ДДС върху различни стоки е просто поредния метод за щавене на държавата! Има многобройни примери че това никога не е било в поза на потребителя ,True
Веселинепий си лекарствата гадино долна! Народът ни трябва да е в добри взаимотношения със съседите сида си помагаме в трудни моменти. ,True
ПОЖЕЛАВАМ НА ТУРЦИТЕ И РАДЕВКОЙТО ИМ ПОМАГА 600 ГОДИНИ ЗЕМЕТРЕСЕНИЯ ! ОКО ЗА ОКОЗЪБ ЗА ЗЪБЖИВОТ ЗА ЖИВОТ! ДАНО ТУРЦИЯ СЕ СРИНЕ !!! ,False
Сеизмолозите сами казаха че не могат да предвидят кога и как. Природата има привилегии. ,True
Северния  бряг на Мраморно море е бг на 50 км само от Истанбул и после Англия го отнема и го връща на Турция че са  ни големи приятели и  ни режат от Босфора. Дано пропаднат тия гъдове ,False
Добре е да удари една 9-та степен по Рихтер в Истанбул но да не беше толкова близо до нас че от Варна и Бургас половината блокове ще са сринати. Една 8-чка става. ,False
Ами преди няколко години нали имаше някво пророчество че Истанбул щял да потъне та разни хора търчаха на почивка там да го видят за последно. Може пък верно да потъне. ,True
