brand,model,year,price,fuelType,gearType,totalKm,HorsePowers,color,id
Mercedes-Benz, E,2003,9999, Бензин, Автоматични скорости,230000,177,Черен,62bdf8383f1a190ead0a8a85
Mercedes-Benz, C,2015,28100, Дизел, Автоматични скорости,127842,170,Черен металик,620d3ff5fad9e91fa1072ae2
Audi, A4,2002,4999, Дизел, Ръчни скорости,169000,131,Тъмно сив,62defc4e36793b13160acf12
Seat, Leon,2003,6000, Дизел, Ръчни скорости,233344,170,Черен,62e1b809825c641039026cf2
BMW, 525,2003,6199, Дизел, Автоматични скорости,400000,163,Светло сив металик,61e7f7309acd227aea64cb63
Citroen, Xsara,1999,1990, Бензин, Ръчни скорости,179000,90,Сив металик,5da41f97f969787ed8114d46
Renault, Talisman,2017,24999, Дизел, Ръчни скорости,159000,110,Бял,62e105907cb54d139f0e53c2
Honda, CR-V,2007,12999, Дизел, Ръчни скорости,197000,140,Тъмно сив металик,62b2ba91576f4db0fa08a265
VW, up!,2012,7790, Бензин, Ръчни скорости,126723,60,Бял металик,624207396f0092309262b7c2
VW, Golf,2011,10999, Дизел, Ръчни скорости,172000,140,Сив металик,62a23e444f73169f320ee9d3
Honda, CR-V,2002,8450, Бензин, Ръчни скорости,185000,150,Бордо металик,61c1b80100be765370389082
Toyota, Avensis,2010,13990, Бензин, Ръчни скорости,234123,132,Сив металик,608075b789e3f10811185112
Toyota, RAV,2002,7200, Дизел, Ръчни скорости,211000,116,Сив металик,62546d62f8cb5c69860daa83
Toyota, Avensis,2004,5290, Дизел, Ръчни скорости,186512,116,Сив металик,624e008bb6326fefdb0a03d3
VW, Passat,2007,6300, Дизел, Ръчни скорости,188000,140,Черен металик,628fc91493266f5ba901ec23
Toyota, Auris,2009,8490, Дизел, Ръчни скорости,193453,126,Сив металик,62c5d9db7436e8af64019cf3
Ford, Focus,2010,5999, Дизел, Ръчни скорости,190000,109,Сив металик,616b23ba65dd5d140c43e022
Toyota, Corolla,2004,3899, Дизел, Ръчни скорости,189532,110,Сив металик,60f45d89b97f912e8913af22
Honda, CR-V,2001,4100, Бензин, Ръчни скорости,228000,147,Сив металик,62a82a0c2ca32ec0310c3492
Honda, Civic,2006,6699, Дизел, Ръчни скорости,191235,140,Сив металик,62c01ba9fd409d59a50b8ee3
Honda, Civic,2015,16990, Дизел, Ръчни скорости,158962,120,Черен металик,61be5d7295d3863fb522bf83
Honda, CR-V,2005,9399, Дизел, Ръчни скорости,253123,140,Черен металик,62d06de986c7dcf2840bd682
Honda, CR-V,2013,25899, Дизел, Ръчни скорости,145786,150,Черен металик,621258a2cd567a2b3d410ce2
Audi, A4,2013,21999, Дизел, Ръчни скорости,225000,177,Черен металик,62cf33368f15aa0b5208b0e2
Honda, CR-V,2014,27899, Дизел, Ръчни скорости,189412,150,Бял металик,624de9c0d3e05642c0055ce3
BMW, X3,2005,11555, Дизел, Автоматични скорости,256000,204,Тъмно сив металик,627d532748d4a8b62b04b825
Mitsubishi, Outlander,2008,13599, Бензин, Ръчни скорости,253123,170,Червен,62ea8c915f2f7abd29014b72
Audi, A4,2014,22999, Дизел, Ръчни скорости,193000,143,Кафяв металик,62c9ef01e18e0a297d03a1d3
Mercedes-Benz, SLK,2003,5999, Газ/Бензин, Ръчни скорости,212234,163,Сив металик,5da4218bf969787ed811e3ed
Peugeot, 307,2006,4950, Дизел, Ръчни скорости,1,109,Светло сив,618556eaa6cd022e005e5662
Mercedes-Benz, E,2003,7900, Бензин, Автоматични скорости,168900,177,Тъмно син металик,5da41e51f969787ed810fc27
Seat, Leon,2017,20777, Дизел, Автоматични скорости,230000,110,Светло син металик,62b0f2cada85dc0f8803e563
Dacia, Duster,2011,15150, Дизел, Ръчни скорости,133586,110,Кафяв,60dff139c18b2617f45836d2
Mercedes-Benz, C,2010,11399, Дизел, Ръчни скорости,217168,136,Черен металик,62485d747ec75bfcb904c424
Volvo, S60,2002,4450, Дизел, Ръчни скорости,2002,131,Тъмно сив металик,5f1169fd2589a02d88566842
Opel, Meriva,2012,9850, Дизел, Ръчни скорости,1,95,Тъмно сив,610e8ab07fc2ba12790236a2
Mercedes-Benz, C,2007,14150, Дизел, Ръчни скорости,1,170,Тъмно сив,610e60c1de1b01563a3c9f66
Hyundai, Santa,2006,10350, Дизел, Ръчни скорости,1,150,Светло сив металик,5dde73c5f5283e125b560122
Mercedes-Benz, C,2016,25899, Дизел, Ръчни скорости,178523,116,Черен металик,62b85d766d9f11f8ed066dd5
Honda, HR-V,2001,6550, Бензин, Ръчни скорости,183929,124,Светло сив,6211277775f75b1e3341c414
Skoda, Octavia,2005,8750, Дизел, Ръчни скорости,234195,105,Сив,62b8386dc5782668d3077fb2
Mercedes-Benz, C,2017,33490, Дизел, Автоматични скорости,249653,170,Тъмно сив металик,5da421b729cd0f5e097e3ebf
Peugeot, 508,2011,14550, Бензин, Ръчни скорости,120897,156,Черен,6160c5b23d48580a0e59aa32
Chevrolet, Aveo,2009,4550, Бензин, Ръчни скорости,133858,84,Жълт,5ed7c2b37051eb4b284d5d62
Volvo, V40,2013,16950, Дизел, Ръчни скорости,1,114,Бял,5f679d2fad6f5f0ae17faf52
Renault, Megane,2017,21250, Дизел, Ръчни скорости,135087,110,Тъмно сив металик,5e517a689ad44d4ad804a212
Renault, Modus,2006,4150, Дизел, Ръчни скорости,141102,68,Светло сив,622caf05fba1632183295593
Mercedes-Benz, E,2002,2999, Бензин, Ръчни скорости,200000,186,Светло сив,62841f873a0a278b48098523
BMW, 318,2008,8899, Бензин, Ръчни скорости,171800,143,Светло сив металик,62e530a517e8eaf2190e98d2
VW, Jetta,2009,7499, Дизел, Ръчни скорости,179800,105,Черен металик,624237f5deb40901a326f5a2
VW, Golf,2008,6999, Дизел, Ръчни скорости,188900,105,Черен металик,6246b7489e1c6492b2047624
Opel, Insignia,2012,12999, Дизел, Ръчни скорости,186800,160,Черен металик,6221ae59b74e4d1d170444d2
Nissan, Patrol,2002,29999, Дизел, Ръчни скорости,111600,158,Черен металик,61e082d1ceee2b35ee000942
Mercedes-Benz, ML,2011,26899, Дизел, Автоматични скорости,190000,231,Светло сив металик,620c23cbe76a74295145fc22
VW, Golf,2010,19999, Дизел, Ръчни скорости,171000,170,Светло сив металик,61fcee255662014c297f67f2
Skoda, Roomster,2007,6800, Дизел, Ръчни скорости,162854,85,Кафяв металик,62ed6f0aa9407ef91008c248
Dacia, Logan,2014,10600, Бензин, Ръчни скорости,102959,75,Сив,62ded34375945face102e325
Mazda, 3,2010,9999, Дизел, Ръчни скорости,168800,109,Тъмно сив металик,62ed6e6458c078f36005cb02
Dacia, Dokker,2017,20800, Газ/Бензин, Ръчни скорости,109729,102,Светло син,62a0ce4f75f0bd3c110a3bf2
VW, Golf,1994,1950, Газ/Бензин, Ръчни скорости,264533,90,Сив металик,62ed6ed7105845645a0baf22
Dacia, Sandero,2019,18700, Бензин, Ръчни скорости,25498,73,Бял,62c8653fd4eac3a5a702fd02
Audi, A4,2011,15999, Дизел, Ръчни скорости,211000,143,Черен металик,62c8957da053e6b0830e0be2
Audi, A5,2011,18700, Дизел, Ръчни скорости,283448,177,Червен,62e8d732eaacf710fe000172
VW, Passat,2007,7999, Дизел, Автоматични скорости,158300,140,Светло сив металик,62b0696dbf3121a591043642
VW, Golf,2011,13999, Дизел, Ръчни скорости,172400,105,Сив металик,628e93b75ba5e9fb260c4b93
Dacia, Logan,2015,12700, Бензин, Ръчни скорости,108237,75,Син,62bc76483ed758c6680de663
Dacia, Sandero,2014,9700, Бензин, Ръчни скорости,131958,75,Жълт,62b19206592931436103c532
Peugeot, 208,2015,12999, Газ/Бензин, Ръчни скорости,172000,95,Тъмно сив металик,628427ca6b3ebc4be50c59c2
Nissan, Micra,2004,5333, Бензин, Ръчни скорости,203000,65,Червен металик,62ed6e6be244f86d9e0336a4
Renault, Clio,2016,14999, Дизел, Ръчни скорости,100000,80,Черен металик,6290513ad30ab7a4c40e1363
BMW, 320,2008,9300, Дизел, Ръчни скорости,239000,177,Бронзов металик,62e272a5073aee9e630a4f65
Mercedes-Benz, C,2005,6499, Дизел, Ръчни скорости,177000,150,Черен металик,620588dbb747945f214b58e5
BMW, 525,2007,9500, Дизел, Автоматични скорости,197532,177,Черен металик,625abe53864e8927020915e3
BMW, 320,2007,7999, Дизел, Ръчни скорости,194800,163,Тъмно сив металик,62c5a5dfff0f5a1a77028b52
Toyota, RAV,2010,17899, Дизел, Ръчни скорости,177000,150,Светло сив металик,62b06bf73b22ee41e70fb7a3
Mercedes-Benz, GL,2012,36000, Бензин, Автоматични скорости,178649,340,Черен,62e409a3f1993918fa0161e4
Ford, Kuga,2015,24970, Дизел, Ръчни скорости,135000,150,Тъмно сив металик,62dbefaa387b699bfc0af112
Mercedes-Benz, C,2008,11999, Дизел, Автоматични скорости,209000,170,Сив металик,626a42d98947f16185097792
Mercedes-Benz, ML,2004,6800, Дизел, Автоматични скорости,253765,163,Сив,62ed6df0545125b5cc0b94e3
Suzuki, Vitara,2008,10000, Дизел, Ръчни скорости,215000,130,Син,62ed6ded45a14cd1940753d2
Mercedes-Benz, A,2003,777, Бензин, Ръчни скорости,160000,95,Червен,61012279cd726e5e756ed972
Citroen, C4,2018,19999, Дизел, Ръчни скорости,205000,120,Тъмно сив металик,62b2e2aea096c0ceb50af553
BMW, 320,2005,7000, Дизел, Ръчни скорости,188346,150,Тъмно син,6173a6aafa60e725910e30e2
BMW, 520,2012,23999, Дизел, Автоматични скорости,222550,220,Черен,612fc6a8613bae74374b8da2
BMW, 320,2007,10500, Дизел, Ръчни скорости,250000,163,Черен,62b0827327db1d53010422f2
Mercedes-Benz, E,2016,27500, Дизел, Автоматични скорости,202298,136,Бял,6206a88bb98c116fc1565bd2
Mercedes-Benz, C,1998,7000, Бензин, Ръчни скорости,102132,122,Сив,615ffc93a5023b197d377cb2
VW, Bora,2000,4999, Бензин, Ръчни скорости,218000,204,Светло син,628a11dbbba13a78990d61b2
Ford, Mondeo,2005,1100, Дизел, Автоматични скорости,189000,131,Черен металик,62ed3b5c26b57d49220c1212
Toyota, Yaris,2004,2600, Бензин, Ръчни скорости,117000,67,Син металик,62ebd0888ec674ee680bfca2
BMW, 523,2007,12400, Бензин, Ръчни скорости,258900,190,Тъмно син металик,62ea237eba1035cead0c2bf5
VW, Tiguan,2010,17900, Дизел, Автоматични скорости,228000,140,Черен металик,62ea252e233dfbd98c085b16
Volvo, V70,2004,5500, Дизел, Автоматични скорости,185002,163,Светло сив,618fd8af66acb9234232a3c6
VW, Passat,2007,7777, Дизел, Ръчни скорости,245000,170,Сив металик,625ada1829c39c801a046bf2
Great, wall,2011,6499, Газ/Бензин, Ръчни скорости,188000,130,Черен металик,627a572cdc168d7b280e3104
Citroen, C4,2006,3333, Метан/Бензин, Ръчни скорости,218150,88,Син металик,624bfd45f3db70d4ae0422d4
Opel, Astra,2017,19800, Дизел, Автоматични скорости,239000,136,Сив металик,62321ce4aa7baa00767c0ca2
Mercedes-Benz, ML,2007,13800, Дизел, Автоматични скорости,280000,224,Черен,62ed6cc91419b1fdb8076a13
VW, Golf,2006,6500, Дизел, Ръчни скорости,187153,105,Сив металик,62ed6cc2f1d269563d015566
BMW, 535,2015,33900, Дизел, Автоматични скорости,249000,313,Черен металик,628a490f750fb04937035f43
Volvo, V70,2008,10600, Дизел, Автоматични скорости,280000,185,Сив,6278bf3f27870affb406dd53
Nissan, Qashqai,2008,10900, Дизел, Ръчни скорости,142000,110,Сив,62ce8ec8879cfe157304e2d2
Saab, 9-3,2008,3400, Дизел, Ръчни скорости,230000,150,Черен,6289e2b252f01964950f13e3
BMW, 318,2003,3100, Дизел, Ръчни скорости,203580,116,Тъмно сив,62dc459adcf95e67bd0c2c44
Opel, Corsa,2002,2500, Дизел, Ръчни скорости,205680,75,Сив,62bdf647eb936e4c960b02e3
Peugeot, 307,2003,2400, Дизел, Ръчни скорости,214568,90,Сив,62bf40852c00d46ac30ef812
Fiat, Punto,2005,1850, Бензин, Ръчни скорости,164350,70,Черен,62eac85b6487d3d8900240c4
Opel, Astra,2003,2350, Дизел, Ръчни скорости,134600,75,Тъмно син,62eac6289eac100c620bbd14
Opel, Zafira,2013,15999, Дизел, Автоматични скорости,178000,165,Черен,6205393c1ed6be3c722502a2
Fiat, Sedici,2007,7500, Бензин, Ръчни скорости,180000,107,Тъмно сив,62c834832ba4fd368f0a71d3
Chevrolet, Captiva,2008,10300, Дизел, Автоматични скорости,189000,150,Сив,6246c2f36e2b3eedaa0c4b14
Nissan, Micra,2012,8999, Бензин, Ръчни скорости,160000,80,Тъмно сив,62c5d2940286bdbc7803de92
BMW, X3,2008,16666, Дизел, Автоматични скорости,239000,286,Черен металик,62b2c48950a4f0963e0bebb3
Seat, Altea,2006,3500, Дизел, Ръчни скорости,280000,105,Син металик,62ed6c2a9d451ec64c094812
Seat, Leon,2002,4300, Дизел, Ръчни скорости,181500,110,Сив металик,62618b26adf0d2c7a70eb1e6
Mini, Countryman,2013,17500, Дизел, Ръчни скорости,46700,112,Син металик,62c17edde4543021f803fa52
Chevrolet, Captiva,2014,20699, Дизел, Автоматични скорости,173000,183,Бял,629a83d61fb6d721e80db172
BMW, X5,2008,38999, Дизел, Автоматични скорости,218000,235,Черен,62db0f97f22947c957037d12
BMW, X5,2008,21999, Дизел, Автоматични скорости,213000,286,Тъмно сив металик,62c48ee893faca1f3c072783
Skoda, Octavia,2007,10555, Дизел, Ръчни скорости,198000,170,Черен металик,62ec22002d2e916ce801e405
Opel, Corsa,2004,4890, Бензин, Автоматични скорости,145913,75,Син,62a44cbfd2456767fc06b032
Audi, A3,2002,3200, Дизел, Ръчни скорости,11111,131,Светло сив,62ed6b8812c65ef2cf0348c2
Mazda, 2,2010,6000, Газ/Бензин, Ръчни скорости,150000,90,Тъмно сив,61f6759718d6dd2800324152
BMW, 645,2005,18500, Бензин, Автоматични скорости,168000,333,Черен,62ed6b3c3bdcb0ceeb056933
Honda, CR-V,2016,48000, Дизел, Автоматични скорости,48060,160,Черен металик,62d57d6610b111a0d4048fd3
Alfa, Romeo,2002,3449, Газ/Бензин, Ръчни скорости,214000,105,Хамелеон металик,6125559e4b05d72d3874fa03
Alfa, Romeo,1999,5500, Бензин, Ръчни скорости,187000,155,Тъмно син,609030b0ac58aa61ed1758d2
Opel, Corsa,2007,8300, Бензин, Автоматични скорости,136000,90,Червен,62df01d8f2fa9e38af032922
Hyundai, Tucson,2008,6900, Бензин, Ръчни скорости,125000,140,Черен,629e432f146a04adea06a933
BMW, 118,2005,6999, Дизел, Ръчни скорости,191500,122,Сив,61f03398c369b96390245a43
Honda, Civic,2007,7490, Дизел, Ръчни скорости,181600,140,Черен,6238b5729116da6ebf09dec3
Suzuki, Grand,2008,7990, Дизел, Ръчни скорости,187000,129,Сребърен,62c28dd99c59d5697407ab73
Dacia, Duster,2018,30000, Дизел, Автоматични скорости,83657,109,Бял,628a18f32fb7dc104c0a9a82
Peugeot, 207,2008,6000, Бензин, Ръчни скорости,156017,88,Черен,628c722e8b85777ec90c8fe3
Peugeot, 5008,2011,9400, Дизел, Автоматични скорости,210000,112,Черен,61b4c3d0f302c357c86620b5
Ford, Fiesta,2011,8490, Дизел, Ръчни скорости,158000,68,Тъмно сив,629f4eea876e99cf70010c63
Peugeot, 308,2014,16500, Дизел, Ръчни скорости,90000,92,Черен металик,62699f6e87776611a70099d3
Seat, Leon,2004,2750, Дизел, Ръчни скорости,207580,110,Сив,62ed6aac9e56ef85e3028f54
Toyota, Yaris,2017,26900,, Автоматични скорости,24100,99,Кафяв металик,62cee43298b2fd65bc037414
Audi, A3,2008,8499, Дизел, Ръчни скорости,184300,105,Черен,6283e54902217bab03029762
Chevrolet, Captiva,2008,9499, Дизел, Ръчни скорости,228000,150,Черен,62cc56a6e2c9a5a92200bb22
Toyota, Yaris,2018,27700,, Автоматични скорости,34000,99,Сребърен металик,62cee192a6ea4554230d5f32
Ford, S-Max,2007,7500, Дизел, Ръчни скорости,189778,140,Тъмно син металик,62cdb9393ecdc8c39108e0f4
Opel, Combo,2016,12999, Метан/Бензин, Ръчни скорости,165000,120,Бял,62a4af03ea536068da00b872
Toyota, Corolla,2007,7499, Дизел, Автоматични скорости,192600,90,Светло сив,62debe05bed415cf2003ffb2
VW, Caddy,2007,10900, Метан/Бензин, Ръчни скорости,186135,109,Син,6263f64a4ae88608690585e2
Opel, Corsa,2007,5490, Дизел, Ръчни скорости,156000,75,Тъмно сив,62447dc1d2c1702cbd3aa8f3
Mercedes-Benz, ML,2006,14990, Дизел, Автоматични скорости,254500,224,Черен,62ebe1b7810ab06fc6004bf2
Suzuki, Grand,2007,6700, Бензин, Ръчни скорости,80966,101,Сив,62e5dc1fa06b7b52840f3273
Ford, S-Max,2007,7500, Дизел, Ръчни скорости,175738,125,Светло сив,62d029f7e0780a49650dbf92
Audi, A4,2009,11800, Дизел, Автоматични скорости,250000,140,Черен металик,62ed694a140321cfd901e492
Toyota, Verso,2010,11500, Дизел, Ръчни скорости,160000,126,Черен металик,62ed692b01d8a22407029cb2
Opel, Zafira,2012,12222, Метан/Бензин, Ръчни скорости,212000,150,Сив,6132484f1446c4051f2dd9c3
Opel, Meriva,2011,7500, Бензин, Ръчни скорости,170000,120,Бял,6259906270e7e643ec051703
Mercedes-Benz, Vaneo,2005,3300, Дизел, Ръчни скорости,290000,91,Тъмно зелен,62ed692621be221461074262
Opel, Meriva,2007,3900, Метан/Бензин, Ръчни скорости,186000,90,Тъмно сив,5f7c6928903fbb22e7693e83
Peugeot, 3008,2013,13999, Дизел, Автоматични скорости,220000,112,Черен металик,625c01df19788d4736013672
VW, Passat,2005,6000, Дизел, Ръчни скорости,198236,101,Тъмно син,628358e27e78b01cd4036023
Citroen, C3,2012,8999, Газ/Бензин, Ръчни скорости,103000,70,Бял,5df7c1bd444e7646335f90d2
BMW, 5,2011,26500, Дизел, Автоматични скорости,246000,299,Бронзов металик,62555e878d79c9bc4c00c982
Opel, Meriva,2008,7000, Бензин, Ръчни скорости,156017,90,Черен,62cdb59aad72ace336008842
Audi, A4,2004,7000, Дизел, Ръчни скорости,197376,101,Черен металик,62e0ca75f86a257e1e002c14
Mercedes-Benz, B,2007,6555, Дизел, Ръчни скорости,177000,109,Сребърен металик,61f1a7d163ef4934a841bf53
Opel, Corsa,2006,2400, Бензин, Ръчни скорости,154000,60,Светло сив,6210e4b74a92217bec79ca04
Opel, Agila,2008,2400, Бензин, Ръчни скорости,94000,80,Светло сив,62a63ca1514219566d03cb32
Honda, Jazz,2004,3999, Бензин, Ръчни скорости,123000,83,Тъмно син,62dd647e28caa95e0c0be022
Peugeot, 307,2003,2900, Дизел, Ръчни скорости,200000,110,Черен,625b058a4d4f37918e0e58d2
Mitsubishi, Space,2015,8400, Бензин, Ръчни скорости,61000,80,Светло сив,62950ec81e488040900ec6e2
BMW, 420,2015,34999, Дизел, Автоматични скорости,219000,190,Черен,62ed683d6ae01d6072021072
Audi, A3,2008,12990, Дизел, Автоматични скорости,188345,170,Бял,62dc4a3086e831269c0a2192
BMW, 328,2011,16500, Бензин, Автоматични скорости,230000,235,Черен металик,62dcfd74a1ac3e98b80f3023
Audi, A4,2010,15990, Дизел, Автоматични скорости,182000,143,Черен металик,61b9d09031798d5ddf592e34
Chevrolet, Captiva,2011,14499, Дизел, Ръчни скорости,231647,163,Черен металик,629cfc164b7e1afbf806cb82
Mercedes-Benz, E,2011,31990, Дизел, Автоматични скорости,205900,231,Сив металик,62495057da12b475d600d623
VW, Sharan,1998,2200, Дизел, Ръчни скорости,1,90,Тъмно син металик,62ed67cc204f3e5e3c039e12
Skoda, Octavia,2008,11499, Дизел, Ръчни скорости,208373,140,Светло сив металик,625a993d99a36e9532084645
Renault, Megane,2003,1300, Дизел, Ръчни скорости,20000,120,Сив,62ed67bc363df3464d0a0564
Toyota, RAV,2007,11300, Дизел, Ръчни скорости,189000,136,Сив металик,62ed67bbe9852dea95003024
Audi, A6,2006,8999, Дизел, Ръчни скорости,412651,180,Черен,619e24aff0bbd3662f7cc072
Audi, A4,2010,14899, Дизел, Ръчни скорости,223544,143,Черен металик,6250a63b680902610d0ced32
BMW, X5,2005,13499, Дизел, Автоматични скорости,213000,218,Черен,62e42d78549a8ebca30ed0b2
Chevrolet, Camaro,2020,84999, Бензин, Автоматични скорости,30900,275,Бял,62331435e161eb6da24acec2
Mercedes-Benz, C,2015,25999, Дизел, Автоматични скорости,154000,136,Бял,5fcea4f05c008e6795736912
VW, Passat,2013,12990, Метан/Бензин, Ръчни скорости,270000,150,Бежов,5fba405b8065f444537f60a2
Opel, Zafira,2008,6999, Метан/Бензин, Ръчни скорости,182345,94,Черен металик,60fa6d130e3711507b2a0a82
Audi, A4,2007,9999, Дизел, Автоматични скорости,226000,180,Тъмно сив металик,62c1ceb673eea22c400e5d43
Chevrolet, Nubira,2007,5199, Бензин, Автоматични скорости,102000,118,Сив металик,5da41a3eabebe273e2798f99
VW, Passat,2014,16000, Метан/Бензин, Ръчни скорости,247000,150,Черен металик,6239ee580c4ad1304d5ab4a2
Seat, Ibiza,2016,15990, Бензин, Ръчни скорости,94400,90,Тъмно син,624dc888e85ef96e3d0fb393
Toyota, RAV,2004,9500, Газ/Бензин, Ръчни скорости,263250,150,Син,62d931eb3ce4a181150d1842
Nissan, Qashqai,2010,14990, Дизел, Ръчни скорости,158880,110,Сив металик,62dfdcd3934c7098f70c4294
Toyota, RAV,2003,6300, Дизел, Ръчни скорости,238500,116,Сив,62c814b6177c31b3250a2b14
Citroen, Berlingo,2008,9990, Дизел, Ръчни скорости,118667,75,Бял,62b94cf8a98ee0248f0479b2
Toyota, RAV,2004,7500, Дизел, Ръчни скорости,332000,116,Сив,62c1c7ff990c2962cd0c1ca3
VW, Caddy,2010,9990, Дизел, Ръчни скорости,192371,105,Бял,62a31ac9aefabf1a1d096a85
Toyota, Avensis,2008,6300, Дизел, Ръчни скорости,333500,150,Син,62415013265d3d3d95710592
Fiat, Scudo,2007,7899, Дизел, Ръчни скорости,291000,120,Сив металик,61eab30be0d5a10c985c11a2
Opel, Zafira,2014,13499, Метан/Бензин, Ръчни скорости,258000,150,Бежов,603f5a7dc9829208497591f2
Toyota, Avensis,2003,7499, Дизел, Ръчни скорости,200000,116,Златен металик,6287f6e50e9b0402e3028ab2
VW, Caddy,2010,9990, Дизел, Ръчни скорости,192371,105,Бял,62a319a73d8db29235073265
BMW, 118,2006,7899, Дизел, Ръчни скорости,230299,122,Черен металик,6268f6d8d61dbe163d0764d2
Toyota, Auris,2009,7999, Дизел, Ръчни скорости,192800,126,Син металик,5f4dd697dd1d86642d16da92
Toyota, Auris,2009,8999, Дизел, Ръчни скорости,172000,126,Сив металик,6223c159eb1b961d7333c9f2
BMW, X5,2001,7200, Дизел, Автоматични скорости,172000,184,Сребърен,62e0058545da7b5b460190c4
Dodge, Nitro,2007,13500, Дизел, Ръчни скорости,262000,177,Сив металик,62ed671104c6a2e157040f45
Honda, Jazz,2009,10899, Бензин, Ръчни скорости,152000,100,Светло сив металик,62a328b817e5a411bb0cf182
Mercedes-Benz, Vito,2008,13499, Дизел, Ръчни скорости,270000,109,Бял,613f262345e47a62de420d92
VW, Golf,2007,8099, Дизел, Ръчни скорости,116000,90,Черен металик,619d1b3d7191e35154483362
BMW, X5,2004,13555, Дизел, Автоматични скорости,208000,218,Черен металик,62dc28f8e903919fba056d32
VW, Passat,2004,6499, Дизел, Ръчни скорости,214160,180,Сив металик,604c881de80f9b5a6e69f644
